gender,japanese_name,english_name
male,悠真,Yuma
male,陽翔,Haruto
male,蓮,Ren
male,湊,Minato
male,樹,Itsuki
male,大和,Yamato
male,蒼,Sou
male,朝陽,Asahi
male,颯太,Sota
male,奏太,Kanata
male,律,Ritsu
male,新,Arata
male,晴,Haru
male,陸,Riku
male,海斗,Kaito
male,翔,Sho
male,悠人,Yuto
male,拓海,Takumi
male,直樹,Naoki
male,健太,Kenta
male,智也,Tomoya
male,亮,Ryo
male,隼人,Hayato
male,真也,Shinya
male,優,Masaru
male,誠,Makoto
male,圭,Kei
male,和真,Kazuma
male,大輔,Daisuke
male,隆,Takashi
female,陽菜,Hina
female,凛,Rin
female,結菜,Yuna
female,葵,Aoi
female,美咲,Misaki
female,さくら,Sakura
female,紬,Tsumugi
female,莉子,Riko
female,芽依,Mei
female,花,Hana
female,琴音,Kotone
female,澪,Mio
female,彩乃,Ayano
female,優奈,Yuuna
female,真由,Mayu
female,愛,Ai
female,奈緒,Nao
female,千尋,Chihiro
female,香織,Kaori
female,沙織,Saori
female,由衣,Yui
female,恵,Megumi
female,美穂,Miho
female,佳奈,Kana
female,遥,Haruka
female,麻衣,Mai
female,瑞希,Mizuki
female,明日香,Asuka
female,里奈,Rina
female,直美,Naomi
